positionName,workYear,education,jobNature,financeStage,industryField,companyShortName,city,salary,district,createTime,positionLables,companySize,firstType,secondType,isSchoolJob,minSalary,maxSalary,maxCompanySize,companyScale
Python工程师,1-3年,本科,全职,A轮,"企业服务,数据服务",云脑科技,北京,10k-20k,朝阳区,2018-07-17,"['算法', '机器学习']",15-50人,开发/测试/运维类,后端开发,0,10.0,20.0,50,小型企业
Python 开发工程师,1-3年,本科,全职,D轮及以上,"移动互联网,社交网络",知乎,北京,18k-36k,海淀区,2018-07-18,"['信息安全', 'Java', 'web']",500-2000人,开发/测试/运维类,后端开发,0,18.0,36.0,2000,大型企业
Python工程师,1-3年,本科,全职,B轮,"移动互联网,教育",学堂在线,北京,15k-25k,海淀区,2018-07-19,['教育'],150-500人,技术,后端开发,0,15.0,25.0,500,中型企业
基础平台开发-python,1-3年,本科,全职,D轮及以上,移动互联网,一点资讯,北京,25k-30k,朝阳区,2018-07-18,"['云计算', 'node.js', 'Java', 'redis']",500-2000人,开发/测试/运维类,后端开发,0,25.0,30.0,2000,大型企业
Python开发工程师,1-3年,本科,全职,B轮,移动互联网,下厨房,北京,15k-25k,海淀区,2018-07-17,"['中级', '初级', 'js', 'OpenStack']",50-150人,开发/测试/运维类,后端开发,0,15.0,25.0,150,小型企业
Python开发工程师-变现业务,1-3年,本科,全职,C轮,"移动互联网,数据服务",字节跳动,北京,25k-40k,海淀区,2018-07-19,['后端开发'],2000人以上,开发/测试/运维类,后端开发,0,25.0,40.0,2000,大型企业
Python开发工程师,1-3年,本科,全职,不需要融资,移动互联网,去哪儿网,北京,15k-30k,海淀区,2018-07-18,"['Java', 'MySQL']",2000人以上,开发/测试/运维类,后端开发,0,15.0,30.0,2000,大型企业
高级python开发工程师,1-3年,本科,全职,A轮,"移动互联网,金融",她理财,北京,15k-30k,朝阳区,2018-07-19,['golang'],50-150人,技术,后端开发,0,15.0,30.0,150,小型企业
python开发工程师,1-3年,本科,全职,A轮,"金融,数据服务",标准普惠,北京,15k-25k,朝阳区,2018-07-18,"['信息安全', '借贷', 'php', 'Ruby']",15-50人,开发/测试/运维类,后端开发,0,15.0,25.0,50,小型企业
Python开发工程师,1-3年,本科,全职,D轮及以上,移动互联网,一点资讯,北京,20k-40k,朝阳区,2018-07-18,[],500-2000人,开发/测试/运维类,后端开发,0,20.0,40.0,2000,大型企业
